full_text,case_folding CPMK2,preprocessing CPMK3,final_label,preprocessing,label,confidence
tgl nya disuruh main fish sampai lvl biar bisa dikasih ikan️ sama tmn https //t.co/iuj2fm2w2h,tgl nya disuruh main fish sampai lvl biar bisa dikasih ikan️ sama tmn https //t.co/iuj2fm2w2h,tgl suruh main lvl kasih tmn iuj,negative,tgl suruh main lvl kasih tmn iuj,,0.4453175387576074
miawcart bagus flo karna waktu adalah fish,miawcart bagus flo karna waktu adalah fish,miawcart bagus flo,negative,miawcart bagus flo,,0.43268443516388566
gamadistira kavling fish boleh,gamadistira kavling fish boleh,gamadistira kavling,negative,gamadistira kavling,,0.4116241509474302
seru banget njir bacain chat orng fish segala lagi pada cerita soal masalah clan lagi tertawa agk merasa tidak enak sih tapi siapa suruh ngechat publik kan jdi ikutan tauu,seru banget njir bacain chat orng fish segala lagi pada cerita soal masalah clan lagi tertawa agk merasa tidak enak sih tapi siapa suruh ngechat publik kan jdi ikutan tauu,seru njir bacain chat orng cerita clan tawa agk enak suruh ngechat publik jdi ikut tauu,positive,seru njir bacain chat orng cerita clan tawa agk enak suruh ngechat publik jdi ikut tauu,,0.458170128855972
roblox guyss sinii join server discord akuu bisa main bareng mendaki fish dan lain-lain enjoy ajaa yang mau bisa reply,roblox guyss sinii join server discord akuu bisa main bareng mendaki fish dan lain-lain enjoy ajaa yang mau bisa reply,roblox guyss sini join server discord akuu main bareng daki enjoy reply,positive,roblox guyss sini join server discord akuu main bareng daki enjoy reply,,0.6493049402640644
roblox gais sinii join serfer diskort akuu bisa main bareng mendaki fish dan lain-lain enjoy ajaa yang mau bisa reply,roblox gais sinii join serfer diskort akuu bisa main bareng mendaki fish dan lain-lain enjoy ajaa yang mau bisa reply,roblox gais sini join serfer diskort akuu main bareng daki enjoy reply,positive,roblox gais sini join serfer diskort akuu main bareng daki enjoy reply,,0.6094957442563296
setiap liat kata mutasi malah keingat fish curiga aku terkena penyakit fish gila,setiap liat kata mutasi malah keingat fish curiga aku terkena penyakit fish gila,lihat mutasi ingat curiga kena sakit gila,negative,lihat mutasi ingat curiga kena sakit gila,,0.5513419326845467
pensiun fish https //t.co/eyawj12rti,pensiun fish https //t.co/eyawj12rti,pensiun eyawj rti,negative,pensiun eyawj rti,,0.37964745873476796
info yang fish nya ada singularity umpan dong roblox,info yang fish nya ada singularity umpan dong roblox,informasi singularity umpan roblox,positive,informasi singularity umpan roblox,,0.6385987378483317
mau nyari mutual buat main fish dong sekalian mutual twt,mau nyari mutual buat main fish dong sekalian mutual twt,cari mutual main mutual twt,positive,cari mutual main mutual twt,,0.46683688988588873
kebutuhan fish buat yang pengen punya akun fish rata kanan dengan ghostfin ether umpan serta coin nya yang 20m+ yuk ready ada akun jangan lupa untuk mention ketika direct message https //t.co/bog7xz3gff,kebutuhan fish buat yang pengen punya akun fish rata kanan dengan ghostfin ether umpan serta coin nya yang 20m+ yuk ready ada akun jangan lupa untuk mention ketika direct message https //t.co/bog7xz3gff,butuh ken akun kanan ghostfin ether umpan coin ready akun lupa mention direct message bog gff,negative,butuh ken akun kanan ghostfin ether umpan coin ready akun lupa mention direct message bog gff,,0.397059561455094
hai lipi open lagi kebutuhan fish kamu holy trident skin pancingan 100k blossom pack 36.5k ada juga gag season pass 68k avqris avrekber okii~ https //t.co/5pcexsneh4,hai lipi open lagi kebutuhan fish kamu holy trident skin pancingan 100k blossom pack 36.5k ada juga gag season pass 68k avqris avrekber okii~ https //t.co/5pcexsneh4,hai lipi open butuh holy trident skin pancing blossom pack season pass avqris avrekber okii pcexsneh,positive,hai lipi open butuh holy trident skin pancing blossom pack season pass avqris avrekber okii pcexsneh,,0.4256401810472871
anjing kyknya seru jasa afk fish,anjing kyknya seru jasa afk fish,kyknya seru jasa away from keyboard,positive,kyknya seru jasa away from keyboard,,0.4557478358657512
minjul nongkrongnya sekarang fish,minjul nongkrongnya sekarang fish,minjul nongkrongnya,negative,minjul nongkrongnya,,0.4116241509474302
syqnc sudah gila fish,syqnc sudah gila fish,syqnc gila,negative,syqnc gila,,0.7182703400704359
muakk sama fish mari kita ngedulang aja prospek,muakk sama fish mari kita ngedulang aja prospek,muakk ngedulang prospek,negative,muakk ngedulang prospek,,0.4116241509474302
anomali fish player baru dikasih beruntung mulu spin https //t.co/wxg9knueri,anomali fish player baru dikasih beruntung mulu spin https //t.co/wxg9knueri,anomali player kasih untung spin wxg knueri,neutral,anomali player kasih untung spin wxg knueri,,0.405376136697156
fish ampas banget heran game busuk,fish ampas banget heran game busuk,ampas heran game busuk,negative,ampas heran game busuk,,0.5007700506263986
lalanyimud mmaaf kak sudah stres fish,lalanyimud mmaaf kak sudah stres fish,lalanyimud mmaaf stres,negative,lalanyimud mmaaf stres,,0.6969685836336413
akun fish pagi tadi narik secret kali aja yang mau negoin dhaa open https //t.co/e5zxxz1lft,akun fish pagi tadi narik secret kali aja yang mau negoin dhaa open https //t.co/e5zxxz1lft,akun pagi tarik secret negoin dhaa open zxxz lft,positive,akun pagi tarik secret negoin dhaa open zxxz lft,,0.49497709178115606
winesdex boleh deh kapan kapan dimulai dari dong padahal setengah mati kemarin push level fish,winesdex boleh deh kapan kapan dimulai dari dong padahal setengah mati kemarin push level fish,winesdex mati kemarin push level,negative,winesdex mati kemarin push level,,0.4400048102914526
roblox sedang mencari banyak temen mancing fisch biar seruu aku main fish dan mendaki juga rep sobat buat mutual,roblox sedang mencari banyak temen mancing fisch biar seruu aku main fish dan mendaki juga rep sobat buat mutual,roblox cari teman pancing fisch seruu main daki reply sobat mutual,positive,roblox cari teman pancing fisch seruu main daki reply sobat mutual,,0.5626564421101395
cutiepwe hahahaha biasanya fish mulu itu gue sendirian foto2 doang terus gue joget2 liatin ava ganteng anjing,cutiepwe hahahaha biasanya fish mulu itu gue sendirian foto2 doang terus gue joget2 liatin ava ganteng anjing,cutiepwe hahahaha foto joget liatin ava ganteng,positive,cutiepwe hahahaha foto joget liatin ava ganteng,,0.43204969272072263
harian belum main fish main bikin gila tidak main gila,harian belum main fish main bikin gila tidak main gila,hari main main gila main gila,negative,hari main main gila main gila,,0.593734894076558
tidak pernah gue mata duitan selain fish anjing,tidak pernah gue mata duitan selain fish anjing,mata duit,positive,mata duit,,0.4254074914221064
ini fish masih belum bisa trade kah,ini fish masih belum bisa trade kah,trade,positive,trade,,0.4097642030424999
sumpah ini game dulu adik aku main ini sampai sudah lengkap buku ikannya dan dia dulu setiap malam selalu afk sampai aku ejek² gitu dan yap sekarang aku main fish dan afk juga ganti aku yang ejek,sumpah ini game dulu adik aku main ini sampai sudah lengkap buku ikannya dan dia dulu setiap malam selalu afk sampai aku ejek² gitu dan yap sekarang aku main fish dan afk juga ganti aku yang ejek,sumpah game adik main lengkap buku ikan malam away from keyboard ejek yap main away from keyboard ganti ejek,positive,sumpah game adik main lengkap buku ikan malam away from keyboard ejek yap main away from keyboard ganti ejek,,0.4455258726808525
sudah difase ngeliat megalodon ganteng sudah kena psikis gue grgr fish,sudah difase ngeliat megalodon ganteng sudah kena psikis gue grgr fish,fase ngeliat megalodon ganteng psikis gara-gara,negative,fase ngeliat megalodon ganteng psikis gara-gara,,0.6508898006325502
asajwyie pacarhimmel sebelum main fish kamu scroll dulu terus pencet yang ada tulisan server abis bikin aja,asajwyie pacarhimmel sebelum main fish kamu scroll dulu terus pencet yang ada tulisan server abis bikin aja,asajwyie pacarhimmel main scroll pencet tulis server habis,positive,asajwyie pacarhimmel main scroll pencet tulis server habis,,0.41250419237970637
boost server luckfish open member jam boost server rabu oktober 2025 start 21:00 wib setelah talon update server besar-besaran 25k/akun ️sisa slot bisa payment qris gabung discord https //t.co/pjmlwmwe9y,boost server luckfish open member jam boost server rabu oktober 2025 start 21:00 wib setelah talon update server besar-besaran 25k/akun ️sisa slot bisa payment qris gabung discord https //t.co/pjmlwmwe9y,boost server luckfish open member jam boost server rabu oktober start waktu indonesia barat talon update server besar akun sisa slot payment qris gabung discord pjmlwmwe,positive,boost server luckfish open member jam boost server rabu oktober start waktu indonesia barat talon update server besar akun sisa slot payment qris gabung discord pjmlwmwe,,0.4691950626840277
fish masih belum bisa trade kah gue butuh batu njirr,fish masih belum bisa trade kah gue butuh batu njirr,trade butuh batu njirr,positive,trade butuh batu njirr,,0.3683173052389204
kgn main fish,kgn main fish,kgn main,positive,kgn main,,0.4685730039316457
enak juga kalau mancing fish private server terakhir publik ketemu orang gila napsuan,enak juga kalau mancing fish private server terakhir publik ketemu orang gila napsuan,enak pancing private server publik ketemu orang gila napsuan,negative,enak pancing private server publik ketemu orang gila napsuan,,0.47627563727800903
fish org org gacor,fish org org gacor,orang orang gacor,negative,orang orang gacor,,0.5336217328637765
koin fish terpercaya tlong direct message,koin fish terpercaya tlong direct message,koin percaya tlong direct message,positive,koin percaya tlong direct message,,0.51016586652843
punya temen fish yang kalau ketemu langsung ngasih ikan2 besar aku kalau bareng kapal dia lalu kita mau cari ikan yang beda dia ninggal kapalnya buat aku dia respawn tetep nyamperin meskipun disitu aku afk lama,punya temen fish yang kalau ketemu langsung ngasih ikan2 besar aku kalau bareng kapal dia lalu kita mau cari ikan yang beda dia ninggal kapalnya buat aku dia respawn tetep nyamperin meskipun disitu aku afk lama,teman ketemu langsung ngasih ikan bareng kapal cari beda ninggal kapal respawn tetep nyamperin situ away from keyboard,positive,teman ketemu langsung ngasih ikan bareng kapal cari beda ninggal kapal respawn tetep nyamperin situ away from keyboard,,0.447166128192654
belum pernah main semuanya fish aja deh,belum pernah main semuanya fish aja deh,main,positive,main,,0.4685730039316457
gue main fish bukanya dapet ikan malah dapet sepatu mulu bingung,gue main fish bukanya dapet ikan malah dapet sepatu mulu bingung,main buka sepatu bingung,negative,main buka sepatu bingung,,0.40228549800898944
hello aku open server boost lagi untuk kalian pemancing fish untuk hari jum'at besok 10/10/2025 dan ada hadiah nya mwehehe per slot 10k note script afk boleh selama boost aktif join reply/dm fast resp https //t.co/d6u9wyugmn https //t.co/ykdatu7wxi,hello aku open server boost lagi untuk kalian pemancing fish untuk hari jum'at besok 10/10/2025 dan ada hadiah nya mwehehe per slot 10k note script afk boleh selama boost aktif join reply/dm fast resp https //t.co/d6u9wyugmn https //t.co/ykdatu7wxi,hello open server boost pancing jum besok hadiah mwehehe slot note script away from keyboard boost aktif join reply direct message fast resp wyugmn ykdatu wxi,positive,hello open server boost pancing jum besok hadiah mwehehe slot note script away from keyboard boost aktif join reply direct message fast resp wyugmn ykdatu wxi,,0.4606824097338531
kebutuhan fish buat yang pengen punya akun fish rata kanan dengan ghostfin ether umpan serta coin nya yang 20m+ yuk ready ada akun jangan lupa untuk mention ketika direct message https //t.co/jbatmgub71,kebutuhan fish buat yang pengen punya akun fish rata kanan dengan ghostfin ether umpan serta coin nya yang 20m+ yuk ready ada akun jangan lupa untuk mention ketika direct message https //t.co/jbatmgub71,butuh ken akun kanan ghostfin ether umpan coin ready akun lupa mention direct message jbatmgub,negative,butuh ken akun kanan ghostfin ether umpan coin ready akun lupa mention direct message jbatmgub,,0.397059561455094
gue main roblox fish emosi banget banding main seriusan,gue main roblox fish emosi banget banding main seriusan,main roblox emosi banding main serius,positive,main roblox emosi banding main serius,,0.4552216643412742
gue gamain fish tapi knp iri banget liat orang dapet ikan bagus gitu ajshsjshs mana seliweran fyp mulu,gue gamain fish tapi knp iri banget liat orang dapet ikan bagus gitu ajshsjshs mana seliweran fyp mulu,gamain iri lihat orang bagus ajshsjshs seliwer fyp,negative,gamain iri lihat orang bagus ajshsjshs seliwer fyp,,0.5408047848073784
soigneves kok tadi gue liat kamu fish,soigneves kok tadi gue liat kamu fish,soigneves lihat,negative,soigneves lihat,,0.3810560196674467
sudah ganteng tapi kalau fish jadi telanjang https //t.co/frvcbzd1av,sudah ganteng tapi kalau fish jadi telanjang https //t.co/frvcbzd1av,ganteng telanjang frvcbzd,negative,ganteng telanjang frvcbzd,,0.4116241509474302
roblox buat kalian yang sering main fisch atau fish suka nyamain baju sama pancingan yang lagi sering kalian pakai nggak sih seperti sender begini entah knp sender suka banget gonta ganti baju buat nyamain pancingan nya https //t.co/b0qa4kc15d,roblox buat kalian yang sering main fisch atau fish suka nyamain baju sama pancingan yang lagi sering kalian pakai nggak sih seperti sender begini entah knp sender suka banget gonta ganti baju buat nyamain pancingan nya https //t.co/b0qa4kc15d,roblox main fisch suka nyamain baju pancing pakai suka gonta ganti baju nyamain pancing,positive,roblox main fisch suka nyamain baju pancing pakai suka gonta ganti baju nyamain pancing,,0.632843464116565
mentor gue bucin fish anjing https //t.co/kxd3oepphp,mentor gue bucin fish anjing https //t.co/kxd3oepphp,mentor bucin kxd oepphp,negative,mentor bucin kxd oepphp,,0.4116241509474302
kewel sudah seng tetep aja tidak ngaruhin apa apa karena akunnya yang bau keknya mah sudah lost spark main fish,kewel sudah seng tetep aja tidak ngaruhin apa apa karena akunnya yang bau keknya mah sudah lost spark main fish,kewel seng tetep ngaruhin akun bau kayak lost spark main,negative,kewel seng tetep ngaruhin akun bau kayak lost spark main,,0.4746365690378442
pasti ada yang ngira gue pengangguran karena 24/7 maen fish padahal aslinya lagi afk red finger,pasti ada yang ngira gue pengangguran karena 24/7 maen fish padahal aslinya lagi afk red finger,ngira anggur main asli away from keyboard red finger,negative,ngira anggur main asli away from keyboard red finger,,0.38112334862568137
day ngekost fish beneran gue afk seharian https //t.co/0g0vywblap,day ngekost fish beneran gue afk seharian https //t.co/0g0vywblap,day ngekost beneran away from keyboard hari vywblap,positive,day ngekost beneran away from keyboard hari vywblap,,0.41455454887106513
info yang open ptpt server fish dong,info yang open ptpt server fish dong,informasi open ptpt server,positive,informasi open ptpt server,,0.5655159889805884
alex1snew roblox nama gamenya fish,alex1snew roblox nama gamenya fish,alex snew roblox nama gamenya,positive,alex snew roblox nama gamenya,,0.44846212934163415
main fish sampai mual tidak naik juga tuh kraken,main fish sampai mual tidak naik juga tuh kraken,main mual kraken,positive,main mual kraken,,0.45569907712905305
aku dikasi cockatrich corrupted kitsune dikasi gamepass trus ikan gede fish trus pas aku masi miskin gag dia modali sampai duitku lebi banyak dari korupsi timah,aku dikasi cockatrich corrupted kitsune dikasi gamepass trus ikan gede fish trus pas aku masi miskin gag dia modali sampai duitku lebi banyak dari korupsi timah,kasi cockatrich corrupted kitsune kasi gamepass trus gede trus mas miskin modal duit lebi korupsi timah,positive,kasi cockatrich corrupted kitsune kasi gamepass trus gede trus mas miskin modal duit lebi korupsi timah,,0.4822449318048815
pinkskiues kenapa juga aku harus kenal fish sems ini gilanya jadi double,pinkskiues kenapa juga aku harus kenal fish sems ini gilanya jadi double,pinkskiues kenal sems gila double,negative,pinkskiues kenal sems gila double,,0.5859149880134984
wkwkwkwwk aku sudah bosen tapi kepikiran mau afk pas tidak pen rosblok kecanduan fish,wkwkwkwwk aku sudah bosen tapi kepikiran mau afk pas tidak pen rosblok kecanduan fish,wkwkwkwwk bosen pikir away from keyboard rosblok candu,positive,wkwkwkwwk bosen pikir away from keyboard rosblok candu,,0.41129400068422445
mau skin pancingan fish,mau skin pancingan fish,skin pancing,positive,skin pancing,,0.41977838407589246
vip fish ngaruh tidak sih guys dari kemaren liat yang narik megalodon pada vip semua sudah orang narik depan biji mata,vip fish ngaruh tidak sih guys dari kemaren liat yang narik megalodon pada vip semua sudah orang narik depan biji mata,vip ngaruh kemaren lihat tarik megalodon vip orang tarik biji mata,negative,vip ngaruh kemaren lihat tarik megalodon vip orang tarik biji mata,,0.4240132292182252
wkwkw semua akan fish pada waktunya temen temen sender pada ketularan karna liat sender 24/7 tertawa welcome the hell gais roblox,wkwkw semua akan fish pada waktunya temen temen sender pada ketularan karna liat sender 24/7 tertawa welcome the hell gais roblox,wkwkw teman teman tular lihat tawa welcome the hell gais roblox,positive,wkwkw teman teman tular lihat tawa welcome the hell gais roblox,,0.511448511914165
haii yang berminat ikut ptpt boost server fish bisa whatsapp aku dibio atau after direct message redi juga gift untuk perlengkapan mancing kamu,haii yang berminat ikut ptpt boost server fish bisa whatsapp aku dibio atau after direct message redi juga gift untuk perlengkapan mancing kamu,hai minat ptpt boost server whatsapp dibio after direct message redi gift lengkap pancing,positive,hai minat ptpt boost server whatsapp dibio after direct message redi gift lengkap pancing,,0.5090068490958912
aichandeisu seperti kadal huft aku juga minat map fish tapi bete lah masih lum bisa arahin kameranya bawah aku tidak bisa dasar laut jadinya,aichandeisu seperti kadal huft aku juga minat map fish tapi bete lah masih lum bisa arahin kameranya bawah aku tidak bisa dasar laut jadinya,aichandeisu kadal huft minat map bete lum arahin kamera dasar laut,positive,aichandeisu kadal huft minat map bete lum arahin kamera dasar laut,,0.5038190762525021
hari stay fish tidak istirahat sama sekali sekarang leher aku tengeng,hari stay fish tidak istirahat sama sekali sekarang leher aku tengeng,stay istirahat leher tengeng,negative,stay istirahat leher tengeng,,0.3927965079894091
jawaban template bocah fish https //t.co/f7a4eueyzz,jawaban template bocah fish https //t.co/f7a4eueyzz,template bocah eueyzz,negative,template bocah eueyzz,,0.4116241509474302
aku sudah bisa gig fish juga bisa whatsapp direct message ajaa https //t.co/gqvm9htky4,aku sudah bisa gig fish juga bisa whatsapp direct message ajaa https //t.co/gqvm9htky4,gig whatsapp direct message gqvm htky,negative,gig whatsapp direct message gqvm htky,,0.4116241509474302
fluttyershy faj dikatain konyol aku berapa hari afk fish demi ini monster air namanyah axolotl aku seringnya dapet yang cilik baru ini dapet nyang gede walaupun aku maunya sebetulnya yang mutasi,fluttyershy faj dikatain konyol aku berapa hari afk fish demi ini monster air namanyah axolotl aku seringnya dapet yang cilik baru ini dapet nyang gede walaupun aku maunya sebetulnya yang mutasi,fluttyershy faj dikatain konyol away from keyboard monster air namanyah axolotl cilik gede mau mutasi,positive,fluttyershy faj dikatain konyol away from keyboard monster air namanyah axolotl cilik gede mau mutasi,,0.4559664305349581
base rosblok yang lewat beranda gue kebanyakan isinya bahas fish emang apa asiknya sih just ask,base rosblok yang lewat beranda gue kebanyakan isinya bahas fish emang apa asiknya sih just ask,base rosblok beranda banyak isi bahas asiknya just ask,negative,base rosblok beranda banyak isi bahas asiknya just ask,,0.420035688424792
mrgeneraal dia sudah kecanduan fish,mrgeneraal dia sudah kecanduan fish,mrgeneraal candu,positive,mrgeneraal candu,,0.40691056421213395
ohmyv3nus baru buat mancing fish,ohmyv3nus baru buat mancing fish,ohmyv nus pancing,positive,ohmyv nus pancing,,0.5444588657538467
cntkhvrf males dia fish trus apus aja itu map,cntkhvrf males dia fish trus apus aja itu map,cntkhvrf malas trus apus map,positive,cntkhvrf malas trus apus map,,0.48133054063900593
ini fish updatenya jam berapa sih gess roblox,ini fish updatenya jam berapa sih gess roblox,updatenya jam roblox,positive,updatenya jam roblox,,0.43374308521583216
shychop4th tapi bisa main map lain tidak pas red finger buat main fish,shychop4th tapi bisa main map lain tidak pas red finger buat main fish,shychop main map red finger main,negative,shychop main map red finger main,,0.4484575082337112
wonokie ini namanya red finger jadi seperti nyewa gitu tapi mainnya bisa chrome dan tanpa mempengaruhi kita sendiri makanya orang² ada yang sampai berminggu-minggu fish nonstop karna ini,wonokie ini namanya red finger jadi seperti nyewa gitu tapi mainnya bisa chrome dan tanpa mempengaruhi kita sendiri makanya orang² ada yang sampai berminggu-minggu fish nonstop karna ini,wonokie nama red finger nyewa main chrome pengaruh orang minggu minggu nonstop,negative,wonokie nama red finger nyewa main chrome pengaruh orang minggu minggu nonstop,,0.5449590731104842
kegiatan dipagi hari sudah tidak buka inventory fish tapi buka sluice amp ambil hasil excavation,kegiatan dipagi hari sudah tidak buka inventory fish tapi buka sluice amp ambil hasil excavation,giat pagi buka inventory buka sluice ambil hasil excavation,positive,giat pagi buka inventory buka sluice ambil hasil excavation,,0.44423668715462655
fish terus,fish terus,,negative,,,0.4116241509474302
aku juga day main fish ini pagi dapet https //t.co/in7bcynthk,aku juga day main fish ini pagi dapet https //t.co/in7bcynthk,day main pagi bcynthk,positive,day main pagi bcynthk,,0.5412307358251924
parkflfe kita bertiga trio ireng fish kinyis-kinyis,parkflfe kita bertiga trio ireng fish kinyis-kinyis,parkflfe tiga trio ireng kinclong kinclong,negative,parkflfe tiga trio ireng kinclong kinclong,,0.4325011258301062
ketagihan main fish,ketagihan main fish,tagih main,neutral,tagih main,,0.41543345625327577
fish sudah bisa trade belum,fish sudah bisa trade belum,trade,positive,trade,,0.4097642030424999
begini rasanya hari tidak buka fish,begini rasanya hari tidak buka fish,buka,negative,buka,,0.4474114714209856
chaenyaw kakk kalau map fish kakinya jadi kotak tidak,chaenyaw kakk kalau map fish kakinya jadi kotak tidak,chaenyaw map kaki kotak,positive,chaenyaw map kaki kotak,,0.5049338470716894
almainvictus mon maap aku main fish aja enggaa,almainvictus mon maap aku main fish aja enggaa,almainvictus mon maap main enggaa,positive,almainvictus mon maap main enggaa,,0.4685730039316457
karakter beginian bakal berubah jafi kotak kalau main fish nggak tolong siapapun jawapp,karakter beginian bakal berubah jafi kotak kalau main fish nggak tolong siapapun jawapp,karakter ubah jafi kotak main jawapp,positive,karakter ubah jafi kotak main jawapp,,0.4685730039316457
sudah bener abis subuh jangan tidur sambil afk fish https //t.co/vhtu13ms2k,sudah bener abis subuh jangan tidur sambil afk fish https //t.co/vhtu13ms2k,bener habis subuh tidur away from keyboard vhtu,negative,bener habis subuh tidur away from keyboard vhtu,,0.40470788397248547
stratoevsky kamu mancing fish gasi nya,stratoevsky kamu mancing fish gasi nya,stratoevsky pancing gas,positive,stratoevsky pancing gas,,0.4785647926103904
ehee pagi baru fish langsung dpt ghost shark https //t.co/jkfr9jsxjn,ehee pagi baru fish langsung dpt ghost shark https //t.co/jkfr9jsxjn,ehee pagi langsung ghost shark jkfr jsxjn,negative,ehee pagi langsung ghost shark jkfr jsxjn,,0.41018334264041356
semenjak mengerjakan tugas sambil afk fish aku tidak pernah dengerin lagu ‍️‍️,semenjak mengerjakan tugas sambil afk fish aku tidak pernah dengerin lagu ‍️‍️,semenjak tugas away from keyboard dengerin lagu,positive,semenjak tugas away from keyboard dengerin lagu,,0.37578340142612515
aku suka mancing fish walau msih noob kadang fisch indo voice masih mau belajar main kadang mendaki walau dontol masuk map karaoke kalau nyanyi sekali salon karena kepo tapi asik juga wkakwkwkwk,aku suka mancing fish walau msih noob kadang fisch indo voice masih mau belajar main kadang mendaki walau dontol masuk map karaoke kalau nyanyi sekali salon karena kepo tapi asik juga wkakwkwkwk,suka pancing msih noob kadang fisch indo voice ajar main kadang daki dontol masuk map karaoke nyanyi salon kepo asik wkakwkwkwk,positive,suka pancing msih noob kadang fisch indo voice ajar main kadang daki dontol masuk map karaoke nyanyi salon kepo asik wkakwkwkwk,,0.48159693875084697
gapapa hbis ini kita afk fish lagi,gapapa hbis ini kita afk fish lagi,gapapa hbis away from keyboard,neutral,gapapa hbis away from keyboard,,0.3819601935892652
seseorang berhak untuk menolak kita jadi setidaknya belajar untuk menerima penolakan jangan dipaksa what just let her/him keep improving yourself there are plenty fish the sea,seseorang berhak untuk menolak kita jadi setidaknya belajar untuk menerima penolakan jangan dipaksa what just let her/him keep improving yourself there are plenty fish the sea,hak tolak ajar terima tolak paksa what just let her him keep improving yourself there are plenty the sea,negative,hak tolak ajar terima tolak paksa what just let her him keep improving yourself there are plenty the sea,,0.429429341904048
guys fitur ngasih ikan fish sudah bisa tidak,guys fitur ngasih ikan fish sudah bisa tidak,fitur ngasih,negative,fitur ngasih,,0.381618285757282
wts/wtt gakepake mau pensiun juga tuker coin fish juga boleh asal sesuai https //t.co/l0s3hgmg8p,wts/wtt gakepake mau pensiun juga tuker coin fish juga boleh asal sesuai https //t.co/l0s3hgmg8p,wts wtt gakepake pensiun tuker coin sesuai hgmg,positive,wts wtt gakepake pensiun tuker coin sesuai hgmg,,0.38356681470993076
kalian pake apk apa buat afk fish,kalian pake apk apa buat afk fish,pakai apk away from keyboard,positive,pakai apk away from keyboard,,0.3844166343964468
apapun kondisinya fish dulu tertawa https //t.co/qqfnaxegyk,apapun kondisinya fish dulu tertawa https //t.co/qqfnaxegyk,apa kondisi tawa qqfnaxegyk,positive,apa kondisi tawa qqfnaxegyk,,0.41723110231371136
gatau aku semalem tidak main fish sekarang masih kah,gatau aku semalem tidak main fish sekarang masih kah,gatau malam main,positive,gatau malam main,,0.4180924580578268
festivze lagi kenapa fish tapi itu nyesek banget kak 100 semaleman menghabiskan batre aja padahal jam bisa seribu mah mana ini mancing zonk banget kak dapet legenda doang tidak ada mitos nya apalagi secret tidak mungkin,festivze lagi kenapa fish tapi itu nyesek banget kak 100 semaleman menghabiskan batre aja padahal jam bisa seribu mah mana ini mancing zonk banget kak dapet legenda doang tidak ada mitos nya apalagi secret tidak mungkin,festivze nyesek maleman habis batre jam ribu pancing zonk legenda mitos secret,negative,festivze nyesek maleman habis batre jam ribu pancing zonk legenda mitos secret,,0.44165292239969484
xpapa virus fish jauh-jauh tolong,xpapa virus fish jauh-jauh tolong,xpapa virus,negative,xpapa virus,,0.4116241509474302
sudah puasa fish seminggu tautau dapet kabar begini hmm apakah ini saatnya buka fish itnlagi https //t.co/aghbbejykc,sudah puasa fish seminggu tautau dapet kabar begini hmm apakah ini saatnya buka fish itnlagi https //t.co/aghbbejykc,puasa minggu tautau kabar hmm buka itnlagi aghbbejykc,negative,puasa minggu tautau kabar hmm buka itnlagi aghbbejykc,,0.4474114714209856
fish game iri dengki penyakit hati,fish game iri dengki penyakit hati,game iri dengki sakit hati,negative,game iri dengki sakit hati,,0.706577821504761
sipalingayuu pake baju classic kak biar tidak telanjang soalnya map fish masuk kategori jadi baju tidak support,sipalingayuu pake baju classic kak biar tidak telanjang soalnya map fish masuk kategori jadi baju tidak support,sipalingayuu pakai baju classic telanjang map masuk kategori baju support,negative,sipalingayuu pakai baju classic telanjang map masuk kategori baju support,,0.4332209744003137
ada tidak sih pas masuk fish jadi telanjang kok aku tiap masuk bajuku jadi ilang,ada tidak sih pas masuk fish jadi telanjang kok aku tiap masuk bajuku jadi ilang,masuk telanjang masuk baju ilang,negative,masuk telanjang masuk baju ilang,,0.45116741138929034
auliadftr fish emg aku belum punya secret kocak msh 1/100k,auliadftr fish emg aku belum punya secret kocak msh 1/100k,auliadftr secret kocak msh,positive,auliadftr secret kocak msh,,0.49058589750457493
auliadftr fish aku gapunya kocak fisch ayo aja gue mah,auliadftr fish aku gapunya kocak fisch ayo aja gue mah,auliadftr gapunya kocak fisch,positive,auliadftr gapunya kocak fisch,,0.37956045553977846
pienacore misuh misuh ada yang bucin map publik fish,pienacore misuh misuh ada yang bucin map publik fish,pienacore misuh misuh bucin map publik,positive,pienacore misuh misuh bucin map publik,,0.4975279020352945
penyakit fish gila https //t.co/kddbmfised,penyakit fish gila https //t.co/kddbmfised,sakit gila kddbmfised,negative,sakit gila kddbmfised,,0.6775203258784925
petalmori maw nya dikokop secret fish kakk,petalmori maw nya dikokop secret fish kakk,petalmori maw dikokop secret,positive,petalmori maw dikokop secret,,0.5414809382830879
sudah tidur aja sekalian afk map fish siapa tau dapat lumba-lumba pink btw hari ini aku uts tapi tetap begadang tertawa babayy all selamat mimpi indahh mwahh,sudah tidur aja sekalian afk map fish siapa tau dapat lumba-lumba pink btw hari ini aku uts tapi tetap begadang tertawa babayy all selamat mimpi indahh mwahh,tidur away from keyboard map lumba lumba pink uts begadang tawa babayy all selamat mimpi indahh mwahh,positive,tidur away from keyboard map lumba lumba pink uts begadang tawa babayy all selamat mimpi indahh mwahh,,0.40207626452275563
sudah muak main fish bye,sudah muak main fish bye,muak main bye,negative,muak main bye,,0.6911721013810636
